,Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
0,1,Tua Tagovailoa,MIA,25,QB,6,6,5-1-0,140,197,71.1,1876,14,7.1,5,2.5,93,57.6,69,9.5,9.8,13.4,312.7,114.1,74.7,6,42,3.0,9.03,9.31,1,1
1,2,Kirk Cousins,MIN,35,QB,6,6,2-4-0,158,235,67.2,1679,14,6.0,4,1.7,81,44.4,62,7.1,7.6,10.6,279.8,100.6,56.9,15,97,6.0,6.33,6.73,,
2,3,Matthew Stafford,LAR,35,QB,6,6,3-3-0,139,227,61.2,1677,6,2.6,5,2.2,82,46.9,49,7.4,6.9,12.1,279.5,83.5,59.9,16,124,6.6,6.39,5.96,0,1
3,4,C.J. Stroud,HOU,22,QB,6,6,3-3-0,127,213,59.6,1660,9,4.2,1,0.5,77,44.7,68,7.8,8.4,13.1,276.7,96.4,55.3,13,115,5.8,6.84,7.43,,
4,5,Trevor Lawrence,JAX,24,QB,7,7,5-2-0,161,239,67.4,1643,8,3.3,3,1.3,77,49.4,45,6.9,7.0,10.2,234.7,92.8,59.0,16,104,6.3,6.04,6.13,1,1
5,6,Jared Goff,DET,29,QB,6,6,5-1-0,141,203,69.5,1618,11,5.4,3,1.5,77,53.1,45,8.0,8.4,11.5,269.7,105.1,73.4,10,61,4.7,7.31,7.71,1,1
6,7,Derek Carr,NOR,32,QB,7,7,3-4-0,163,255,63.9,1600,6,2.4,4,1.6,76,43.6,51,6.3,6.0,9.8,228.6,82.8,48.2,18,120,6.6,5.42,5.20,,
7,8,Patrick Mahomes,KAN,28,QB,6,6,5-1-0,153,224,68.3,1593,11,4.9,5,2.2,74,50.0,54,7.1,7.1,10.4,265.5,95.7,72.8,6,41,2.6,6.75,6.73,0,1
8,9,Josh Allen,BUF,27,QB,6,6,4-2-0,147,205,71.7,1576,13,6.3,6,2.9,77,52.8,55,7.7,7.6,10.7,262.7,102.8,75.3,9,36,4.2,7.20,7.15,1,1
9,10,Jalen Hurts,PHI,25,QB,6,6,5-1-0,141,213,66.2,1542,7,3.3,7,3.3,68,44.1,63,7.2,6.4,10.9,257.0,84.7,59.9,14,72,6.2,6.48,5.70,0,1
