,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Ja'Marr Chase,CIN,23,WR,6,6,73,50,68.5%,556,11.1,3,35,64.4,63,7.6,8.3,92.7,0
1,2,Puka Nacua,LAR,22,WR,6,6,70,50,71.4%,598,12.0,2,31,61.4,37,8.5,8.3,99.7,1
2,3,Stefon Diggs,BUF,30,WR,6,6,66,49,74.2%,620,12.7,5,31,62.1,55,9.4,8.2,103.3,1
3,4,Adam Thielen,CAR,33,WR,6,6,59,49,83.1%,509,10.4,4,33,67.8,30,8.6,8.2,84.8,0
4,5,Keenan Allen,LAC,31,WR,5,5,55,42,76.4%,519,12.4,4,23,63.6,42,9.4,8.4,103.8,1
5,6,A.J. Brown,PHI,26,WR,6,6,60,42,70.0%,672,16.0,2,32,55.0,59,11.2,7.0,112.0,0
6,7,Tyreek Hill,MIA,29,WR,6,6,59,42,71.2%,814,19.4,6,35,67.8,69,13.8,7.0,135.7,0
7,8,Evan Engram,JAX,29,TE,7,6,51,41,80.4%,346,8.4,0,15,54.9,28,6.8,5.9,49.4,1
8,9,Michael Pittman Jr.,IND,26,WR,6,6,60,40,66.7%,406,10.2,1,17,48.3,40,6.8,6.7,67.7,1
9,10,Davante Adams,LVR,31,WR,6,6,59,39,66.1%,471,12.1,3,27,62.7,32,8.0,6.5,78.5,0
10,11,Christian Kirk,JAX,27,WR,7,7,55,39,70.9%,474,12.2,3,21,60.0,45,8.6,5.6,67.7,1
11,12,Chris Olave,NOR,23,WR,7,5,68,39,57.4%,471,12.1,1,25,51.5,45,6.9,5.6,67.3,0
12,13,Amon-Ra St. Brown,DET,24,WR,5,5,50,38,76.0%,455,12.0,3,23,66.0,39,9.1,7.6,91.0,1
13,14,T.J. Hockenson,MIN,26,TE,6,3,47,36,76.6%,304,8.4,2,16,48.9,24,6.5,6.0,50.7,1
14,15,Justin Jefferson,MIN,24,WR,5,5,53,36,67.9%,571,15.9,3,28,64.2,52,10.8,7.2,114.2,1
15,16,Travis Kelce,KAN,34,TE,5,5,46,36,78.3%,346,9.6,3,18,63.0,40,7.5,7.2,69.2,0
16,17,Zay Flowers,BAL,23,WR,6,6,48,35,72.9%,367,10.5,1,15,56.3,52,7.6,5.8,61.2,0
17,18,Alvin Kamara,NOR,28,RB,4,4,39,35,89.7%,177,5.1,0,10,43.6,21,4.5,8.8,44.3,0
18,19,CeeDee Lamb,DAL,24,WR,6,6,42,34,81.0%,475,14.0,1,22,69.0,49,11.3,5.7,79.2,1
19,20,Michael Thomas,NOR,30,WR,7,5,54,34,63.0%,371,10.9,1,18,55.6,26,6.9,4.9,53.0,0
20,21,D.J. Moore,CHI,26,WR,6,6,42,32,76.2%,582,18.2,5,24,59.5,58,13.9,5.3,97.0,0
21,22,Garrett Wilson,NYJ,23,WR,6,6,55,32,58.2%,369,11.5,2,16,41.8,68,6.7,5.3,61.5,0
22,23,Terry McLaurin,WAS,28,WR,6,6,42,31,73.8%,342,11.0,1,18,57.1,32,8.1,5.2,57.0,0
23,24,Tyler Boyd,CIN,29,WR,6,6,41,30,73.2%,204,6.8,1,9,48.8,14,5.0,5.0,34.0,0
