,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
0,1,Travis Etienne,JAX,24,RB,7,7,127,504,7,26,48.8,35,4.0,72.0,0
1,2,Christian McCaffrey,SFO,27,RB,6,6,110,553,7,30,53.6,65,5.0,92.2,2
2,3,Josh Jacobs,LVR,25,RB,6,6,107,312,2,16,43.9,24,2.9,52.0,0
3,4,Derrick Henry,TEN,29,RB,6,6,98,425,3,20,44.9,63,4.3,70.8,0
4,5,Dameon Pierce,HOU,23,RB,6,6,97,281,1,11,41.2,15,2.9,46.8,0
5,6,Kyren Williams,LAR,23,RB,6,5,97,456,6,26,60.8,31,4.7,76.0,1
6,7,Joe Mixon,CIN,27,RB,6,6,96,366,1,22,49.0,22,3.8,61.0,0
7,8,Zack Moss,IND,26,RB,5,5,96,466,4,26,49.0,56,4.9,93.2,0
8,9,Tony Pollard,DAL,26,RB,6,6,96,370,2,21,49.0,31,3.9,61.7,2
9,10,David Montgomery,DET,26,RB,5,5,94,385,6,23,55.3,42,4.1,77.0,2
10,11,Isiah Pacheco,KAN,24,RB,6,5,87,387,3,24,52.9,48,4.4,64.5,0
11,12,D'Andre Swift,PHI,24,RB,6,5,86,452,2,22,61.6,43,5.3,75.3,1
12,13,Kenneth Walker III,SEA,23,RB,5,5,83,345,6,21,50.6,36,4.2,69.0,0
13,14,Alexander Mattison,MIN,25,RB,6,6,82,320,0,11,46.3,17,3.9,53.3,1
14,15,Bijan Robinson,ATL,21,RB,6,6,80,401,0,22,45.0,38,5.0,66.8,1
15,16,Rhamondre Stevenson,NWE,25,RB,6,6,78,234,2,12,44.9,15,3.0,39.0,0
16,17,Brian Robinson Jr.,WAS,24,RB,6,6,77,302,3,22,46.8,27,3.9,50.3,1
17,18,Tyler Allgeier,ATL,23,RB,6,1,75,242,2,16,44.0,22,3.2,40.3,0
18,19,James Cook,BUF,24,RB,6,5,75,363,1,17,53.3,36,4.8,60.5,0
19,20,Raheem Mostert,MIA,31,RB,6,6,75,429,9,23,57.3,49,5.7,71.5,3
20,21,Gus Edwards,BAL,28,RB,6,3,72,282,1,16,47.2,20,3.9,47.0,0
21,22,Rachaad White,TAM,24,RB,5,5,70,232,1,11,44.3,13,3.3,46.4,1
22,23,Alvin Kamara,NOR,28,RB,4,4,69,261,1,17,46.4,17,3.8,65.3,0
23,24,James Conner,ARI,28,RB,5,5,68,364,2,16,48.5,35,5.4,72.8,0
24,25,Jerome Ford,CLE,24,RB,5,2,67,270,1,9,37.3,69,4.0,54.0,1
25,26,Breece Hall,NYJ,22,RB,6,6,66,426,2,15,45.5,83,6.5,71.0,2
26,27,AJ Dillon,GNB,25,RB,5,3,64,194,1,12,50.0,14,3.0,38.8,0
27,28,Najee Harris,PIT,25,RB,5,5,63,247,0,12,44.4,24,3.9,49.4,0
28,29,Jalen Hurts,PHI,25,QB,6,6,63,253,5,28,61.9,24,4.0,42.2,1
29,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
30,30,Miles Sanders,CAR,26,RB,5,5,61,190,1,9,34.4,15,3.1,38.0,2
31,31,Lamar Jackson,BAL,26,QB,6,6,60,327,4,23,56.7,26,5.5,54.5,7
32,32,Joshua Kelley,LAC,26,RB,5,3,58,209,1,15,44.8,22,3.6,41.8,0
33,33,Chuba Hubbard,CAR,24,RB,6,1,54,242,1,18,64.8,21,4.5,40.3,0
34,34,Saquon Barkley,NYG,26,RB,3,3,53,207,1,10,39.6,34,3.9,69.0,0
35,35,Khalil Herbert,CHI,25,RB,5,5,51,272,0,12,51.0,34,5.3,54.4,1
36,36,Ezekiel Elliott,NWE,28,RB,6,0,49,193,1,14,46.9,14,3.9,32.2,1
37,37,Javonte Williams,DEN,23,RB,5,4,48,190,0,10,47.9,18,4.0,38.0,0
38,38,Justin Fields,CHI,24,QB,6,6,47,237,1,16,55.3,20,5.0,39.5,4
39,39,Kenneth Gainwell,PHI,24,RB,5,1,41,141,0,7,39.0,16,3.4,28.2,1
