,id,week_1_pts_ppr,week_2_pts_ppr,week_3_pts_ppr,week_4_pts_ppr,week_5_pts_ppr,week_6_pts_ppr,week_7_pts_ppr,week_8_pts_ppr,week_9_pts_ppr,week_10_pts_ppr,week_11_pts_ppr,week_12_pts_ppr,week_13_pts_ppr,week_14_pts_ppr,week_15_pts_ppr,week_16_pts_ppr,week_17_pts_ppr,week_18_pts_ppr
0,10859,7.26,8.47,8.07,10.58,12.27,10.28,10.83,10.76,9.08,10.11,12.0,10.46,11.56,10.74,11.61,10.89,10.74,11.22
1,11533,7.24,7.91,8.7,8.31,8.99,9.33,9.01,8.48,8.77,9.08,8.98,9.16,8.87,8.84,8.24,7.95,8.24,8.27
2,1264,9.97,9.08,9.81,8.87,8.71,8.98,7.43,10.05,7.69,8.69,8.63,8.78,7.48,9.52,9.27,9.11,9.44,9.64
3,1348,7.74,7.74,7.17,6.9,13.39,6.19,19.63,8.18,17.28,7.69,8.06,6.77,17.36,6.64,7.03,7.69,7.36,7.17
4,1373,19.26,18.27,19.28,18.91,19.47,17.28,17.39,15.68,13.13,19.44,18.75,17.0,11.49,16.26,18.17,18.91,18.91,19.32
5,1426,12.0,13.67,12.42,13.46,11.27,15.15,17.09,13.51,17.1,14.11,12.0,12.54,16.68,11.05,11.97,12.13,12.46,12.08
6,1479,14.92,17.77,18.24,16.68,15.95,17.35,16.93,17.1,16.39,19.2,18.15,16.96,18.14,16.75,16.39,18.16,17.31,16.39
7,1689,8.73,16.84,16.84,18.87,17.98,18.41,16.4,20.15,15.61,14.09,19.42,19.2,12.46,17.18,17.18,16.88,16.88,16.73
8,2028,18.05,7.38,8.93,11.58,7.26,13.03,12.75,15.69,18.39,16.85,13.05,12.49,17.16,10.22,10.85,12.02,11.59,12.39
9,2133,15.44,17.66,16.02,15.95,19.54,15.93,7.81,16.97,16.64,13.97,15.13,16.74,13.07,15.89,17.0,17.31,17.69,17.85
10,2216,13.01,17.43,16.86,17.9,13.22,19.0,13.46,16.64,12.31,12.84,12.22,15.34,8.8,16.64,16.56,17.26,17.96,17.49
11,2251,6.3,12.54,13.0,12.03,13.33,12.17,15.09,12.64,9.22,8.31,8.48,12.35,11.54,12.74,12.07,12.3,12.52,12.41
12,2309,13.3,7.25,13.65,6.57,10.92,8.48,18.07,8.11,14.42,12.41,12.61,8.07,12.34,12.31,8.46,8.46,8.66,8.66
